Carlow,46014,50349,54612,56932
Dublin,1122821,1187176,1273069,1347359
Kildare,163944,186335,210312,222504
Kilkenny,80339,87558,95419,99232
Laois,58774,67059,80559,84697
Longford,31068,34391,39000,40873
Louth,101821,111267,122897,128884
Meath,134005,162831,184135,195044
Offaly,63663,70868,76687,77961
Westmeath,71858,79346,86164,88770
Wexford,116596,131749,145320,149722
Wicklow,114676,126194,136640,142425
Clare,103277,110950,117196,118817
Cork,447829,481295,519032,542868
Kerry,132527,139835,145502,147707
Limerick,175304,184055,191809,194899
Tipperary,140131,149244,158754,159553
Waterford,101546,107961,113795,116176
Galway,209077,231670,250653,258058
Leitrim,25799,28950,31798,32044
Mayo,117446,123839,130638,130507
Roscommon,53774,58768,64065,64544
Sligo,58200,60894,65393,65535
Cavan,56546,64003,73183,76176
Donegal,137575,147264,161137,159192
Monaghan,52593,55997,60483,61386
