Carlow,604,668,745,943,836,922,1127,945,891,799,804,701,620,522,628
Cavan,521,455,505,515,555,610,562,589,518,508,437,509,466,405,422
Clare,1169,1089,1031,1169,1230,1412,1309,1264,1116,1111,1036,989,1119,926,910
Cork,6192,6392,7045,6662,6358,6812,6547,6095,6139,5546,5871,5708,5393,4676,5016
Donegal,1317,1262,1269,1408,1323,1333,1454,1163,1224,985,1054,1010,940,765,694
Dublin,37241,37031,34846,33289,34009,34438,34350,35624,36688,37671,39481,39196,38644,34196,36742
Galway,2705,2573,2773,3155,3157,3247,3022,2803,2352,2432,2440,2263,2339,1896,2127
Kerry,1186,1031,1190,1258,1168,1168,1159,1151,989,936,1069,1185,1089,864,953
Kildare,2331,2244,2344,2576,3059,2998,2963,2734,3098,2943,3077,2968,2637,2324,2645
Kilkenny,702,734,915,1093,1068,968,1087,1260,1146,998,1065,1124,1041,853,862
Laois,791,718,714,776,793,1017,1085,1090,1008,976,1269,1219,1325,1039,939
Leitrim,209,226,256,278,289,321,275,258,263,235,273,237,228,217,215
Limerick,3354,2757,3699,4216,3617,3500,3728,3677,3655,3546,3380,3560,3462,2364,2849
Longford,438,490,394,540,548,447,474,507,461,452,477,388,400,455,430
Louth,1842,1778,1935,1992,2348,2568,2258,2275,2016,2035,2042,2125,2334,1794,1787
Mayo,1491,1463,1536,1676,1711,1685,1619,1420,1451,1527,1467,1340,1296,1066,1045
Meath,1284,1560,1744,2014,2116,2184,2536,2474,2472,2198,2247,2441,2054,1624,2208
Monaghan,579,522,603,557,605,657,594,602,624,610,512,590,634,480,517
Offaly,724,673,757,778,730,704,755,747,693,690,838,825,797,530,628
Roscommon,334,378,397,392,407,455,461,387,422,445,360,322,390,311,334
Sligo,846,680,714,847,847,738,743,686,624,598,667,559,434,446,530
Tipperary,1230,1276,1182,1336,1410,1394,1378,1567,1361,1380,1461,1430,1374,1304,1189
Waterford,1903,1851,1818,2083,2098,2304,2106,2087,1950,2103,1939,1871,1853,1606,1680
Westmeath,1280,1211,1322,1464,1475,1228,1222,1291,1237,1250,1271,1186,1125,995,1087
Wexford,1269,1250,1336,1363,1370,1539,1752,1570,1922,1923,1726,1632,1645,1379,1347
Wicklow,1888,1876,1959,2134,2006,2169,2345,2384,2346,2216,2165,2241,2091,1747,1809
