Carlow,163,184,185,230,258,315,376,341,253,183,156,181,154,163,202
Cavan,301,328,370,424,379,367,370,371,347,314,287,282,302,336,391
Clare,406,302,340,362,431,566,526,479,388,318,307,326,394,410,415
Cork,1619,1498,1399,1518,1795,2091,2010,1801,1716,1708,1585,1782,1898,1791,2124
Donegal,761,666,769,839,990,1091,927,818,861,738,692,742,726,702,775
Dublin,3686,3833,3635,4258,4813,5120,5127,5436,5084,4318,4124,4537,5191,5495,5911
Galway,619,653,741,821,911,1042,895,817,877,788,675,739,786,712,855
Kerry,385,416,401,558,623,608,572,554,464,481,446,426,475,468,529
Kildare,551,480,479,519,690,721,732,669,743,651,579,532,664,623,752
Kilkenny,193,218,237,277,339,318,328,360,315,240,258,273,351,335,322
Laois,168,169,191,199,246,342,307,258,256,267,236,300,355,326,450
Leitrim,89,113,95,105,150,144,143,111,100,110,94,108,95,119,143
Limerick,591,540,680,749,879,925,796,806,761,704,662,554,667,656,819
Longford,144,178,89,152,189,216,214,202,181,150,155,163,177,134,141
Louth,489,350,347,423,498,664,584,549,489,514,450,519,520,522,675
Mayo,482,502,506,587,622,723,673,628,548,555,486,444,471,458,522
Meath,278,279,339,401,505,579,543,527,434,449,401,412,493,447,494
Monaghan,296,302,306,297,435,397,309,383,301,277,193,201,233,304,291
Offaly,261,274,297,300,324,253,284,273,242,258,234,192,237,240,287
Roscommon,153,122,157,160,222,169,199,158,147,161,160,222,224,131,192
Sligo,211,165,182,209,241,326,276,234,204,178,176,198,215,209,234
Tipperary,419,450,472,484,540,615,573,485,505,417,408,377,457,451,524
Waterford,378,383,448,592,687,603,659,582,615,593,510,487,589,446,550
Westmeath,285,246,315,306,407,420,395,356,357,321,247,298,288,298,311
Wexford,323,308,337,399,515,510,519,486,464,476,361,373,450,444,519
Wicklow,286,316,368,387,445,585,568,534,500,531,482,482,458,421,457
