"Bailieboro, Cavan Division",27,13,16,15,25,22,14,26,28,19,13,9,9,22,21
"Ballyjamesduff, Cavan Division",6,17,18,8,11,20,31,23,39,21,17,9,12,5,27
"Cootehill, Cavan Division",20,40,39,36,15,13,21,34,38,35,13,23,25,10,26
"Kingscourt, Cavan Division",16,14,10,15,13,16,18,15,20,20,7,4,9,14,8
"Mullagh, Cavan Division",3,10,11,11,10,7,14,9,13,13,3,5,5,4,13
"Shercock, Cavan Division",7,5,5,8,3,10,9,8,18,7,4,4,7,3,11
"Virginia, Cavan Division",14,17,27,13,25,20,31,16,32,21,30,20,18,15,27
"Ballyconnell, Cavan Division",18,8,13,4,9,11,13,9,8,5,7,9,10,4,19
"Belturbet, Cavan Division",13,17,19,8,8,12,29,15,21,21,13,11,51,18,35
"Blacklion, Cavan Division",4,2,6,1,0,3,6,3,1,3,4,3,3,1,9
"Dowra, Cavan Division",1,0,3,1,1,0,1,5,6,2,1,2,0,2,0
"Killeshandra, Cavan Division",9,5,4,3,1,7,3,8,7,3,0,5,15,5,9
"Swanlinbar, Cavan Division",4,1,7,1,3,0,0,3,13,3,0,5,6,2,2
"Arva, Cavan Division",20,8,14,19,19,12,8,16,29,13,11,6,4,6,6
"Ballinagh, Cavan Division",66,54,46,59,41,35,42,46,68,48,35,38,33,21,35
"Cavan, Cavan Division",54,25,31,32,48,34,47,50,23,42,27,31,17,25,14
"Kilnaleck, Cavan Division",2,0,0,1,2,0,5,8,6,7,0,4,4,3,3
"Clones, Monaghan Division",4,3,5,5,3,6,8,31,17,3,8,4,7,12,6
"Emyvale, Monaghan Division",18,7,9,6,17,7,17,24,31,15,12,8,25,11,26
"Monaghan, Monaghan Division",65,84,98,57,90,70,73,78,119,85,62,88,100,85,87
"Scotstown, Monaghan Division",14,14,21,5,13,5,21,34,33,15,14,11,27,27,23
"Ballybay, Monaghan Division",18,7,11,10,12,11,12,8,9,6,10,4,6,7,17
"Carrickmacross, Monaghan Division",14,4,22,24,12,9,15,7,8,9,12,4,8,12,7
"Castleblayney, Monaghan Division",59,35,32,40,61,35,44,44,40,49,49,40,25,39,50
"Rockcorry, Monaghan Division",5,3,14,4,5,4,7,3,2,2,4,7,0,1,3
"Ballintra, Donegal Division",20,23,8,6,4,11,8,8,7,6,8,4,6,4,4
"Ballyshannon, Donegal Division",16,17,5,17,15,12,22,17,10,7,6,16,10,11,10
"Bundoran, Donegal Division",15,14,7,7,28,11,14,10,9,14,8,15,7,8,8
"Donegal Town, Donegal Division",30,30,16,7,10,13,15,17,10,14,16,10,8,4,7
"Mountcharles, Donegal Division",11,6,4,6,3,2,4,1,7,3,1,2,3,0,7
"Na Cealla Beaga, Donegal Division",4,3,7,9,14,5,14,9,9,2,14,7,3,4,7
"Pettigo, Donegal Division",4,6,3,1,0,2,3,0,1,2,2,5,0,1,1
"Buncrana, Donegal Division",23,23,9,8,12,25,32,14,23,21,32,16,22,4,9
"Burnfoot, Donegal Division",22,11,13,13,11,13,18,7,22,17,9,10,7,3,7
"Carndonagh, Donegal Division",21,14,8,5,12,24,16,13,4,16,17,12,12,8,16
"Clonmany, Donegal Division",4,7,6,3,2,4,1,4,1,2,0,1,0,1,3
"Moville, Donegal Division",11,14,15,3,7,15,20,27,20,14,13,8,2,8,8
"Muff, Donegal Division",10,18,11,11,4,13,20,10,17,18,4,15,7,1,6
"Ballybofey, Donegal Division",27,37,52,17,29,28,37,26,33,17,20,25,19,15,17
"Carrigans, Donegal Division",24,26,20,14,18,7,24,17,14,27,6,23,11,1,5
"Castlefin, Donegal Division",21,13,14,5,10,10,17,7,8,24,9,10,8,1,7
"Convoy, Donegal Division",23,19,16,9,14,10,23,14,21,16,12,5,4,3,9
"Letterkenny, Donegal Division",88,97,65,121,107,84,97,85,156,117,122,130,112,87,95
"Lifford, Donegal Division",23,12,10,5,4,8,22,7,10,21,17,14,9,3,4
"Newtowncunningham, Donegal Division",20,14,14,10,10,11,13,14,19,28,7,11,14,1,10
"Raphoe, Donegal Division",32,11,16,10,11,14,25,22,14,10,26,13,12,2,12
"An Craoslach, Donegal Division",0,0,2,0,1,1,4,2,1,1,5,2,0,0,0
"An Fail Carrach, Donegal Division",25,14,14,17,5,6,5,5,0,6,2,2,2,3,2
"Carraig Airt, Donegal Division",4,6,9,2,5,5,3,7,3,7,9,10,3,6,4
"Dun Fionnachaid, Donegal Division",14,17,10,12,5,10,12,4,4,1,4,2,1,2,4
"Kerrykeel, Donegal Division",8,4,8,1,4,23,10,6,2,4,5,5,3,10,7
"Kilmacrennan, Donegal Division",7,4,1,3,6,10,6,10,4,8,6,3,3,3,1
"Milford, Co Donegal, Donegal Division",9,3,3,7,2,4,3,2,4,2,2,6,5,5,4
"Ramelton, Donegal Division",3,0,4,5,5,2,3,3,7,3,1,3,4,0,2
"Rathmullen, Donegal Division",0,1,0,0,3,0,4,3,2,1,0,2,1,1,1
"Ailt an Chorraiin, Donegal Division",0,3,4,2,3,6,4,5,5,2,2,0,3,4,1
"An Bun Beag, Donegal Division",20,22,27,23,22,21,9,8,11,7,2,6,9,5,3
"An Charraig, Donegal Division",6,4,7,2,3,2,6,4,4,2,0,2,0,2,0
"An Clochain Liath, Donegal Division",14,8,6,8,6,9,6,8,8,0,4,2,4,2,9
"Ard an Raitha, Donegal Division",3,5,2,4,1,5,3,2,2,1,0,2,3,1,1
"Clogher, Donegal Division",0,4,2,1,3,1,3,2,2,1,2,0,1,0,0
"Na Gleannta, Donegal Division",3,2,5,1,1,2,2,3,6,1,3,7,5,2,2
"Ballymote, Sligo Division",7,11,9,3,9,8,14,7,11,7,22,9,14,8,3
"Enniscrone, Sligo Division",19,6,4,6,16,15,15,11,17,33,18,22,11,6,4
"Gurteen, Leitrim Division",1,2,2,2,4,8,6,10,4,8,3,4,8,4,2
"Riverstown, Sligo Division",9,6,5,2,6,13,19,12,13,10,9,3,14,6,7
"Tubbercurry, Sligo Division",10,11,14,12,11,23,16,22,16,35,28,31,23,10,9
"Ballinamore, Leitrim Division",5,2,5,3,1,6,14,8,18,13,6,7,9,6,2
"Carrick-On-Shannon, Leitrim Division",29,20,32,45,37,63,45,41,46,41,30,20,25,20,47
"Carrigallen, Leitrim Division",5,6,4,5,3,2,9,7,9,2,3,8,4,3,7
"Drumshambo, Leitrim Division",7,12,11,6,8,13,14,5,12,13,10,28,11,8,26
"Kinlough, Leitrim Division",9,10,6,9,3,7,5,8,6,7,5,12,9,4,8
"Manorhamilton, Leitrim Division",8,5,13,19,15,17,14,12,17,12,11,29,18,19,35
"Mohill, Leitrim Division",19,16,16,15,21,27,26,20,41,31,16,20,23,14,11
"Collooney, Sligo Division",11,16,12,15,15,15,19,10,12,14,7,14,23,12,9
"Coolaney, Sligo Division",2,2,1,3,1,1,1,1,2,8,5,5,4,3,3
"Grange, Sligo Division",11,13,14,16,8,14,13,13,18,23,13,17,12,15,12
"Rosses Point, Sligo Division",2,5,5,3,3,2,6,4,2,3,3,5,5,6,5
"Skreen, Sligo Division",2,1,1,3,1,1,2,4,5,9,4,0,9,6,5
"Sligo, Sligo Division",249,184,166,135,179,146,136,105,136,133,146,136,104,68,80
"Ardee, Louth Division",32,48,60,52,66,63,52,65,79,69,73,69,60,37,36
"Castlebellingham, Louth Division",39,24,44,39,27,51,55,40,38,42,45,61,50,25,17
"Collon, Louth Division",26,9,11,15,12,16,14,15,22,16,15,10,12,5,7
"Louth, Louth Division",9,14,13,11,8,15,20,14,20,24,13,24,12,9,8
"Clogherhead, Louth Division",17,11,20,18,26,29,27,20,25,20,27,24,26,12,13
"Drogheda, Louth Division",154,281,344,268,398,464,372,353,331,492,446,357,387,331,322
"Dunleer, Louth Division",17,21,31,27,30,36,18,22,29,23,26,34,22,15,11
"Blackrock, Co Louth, Louth Division",47,36,45,44,40,55,33,34,54,47,65,50,53,25,19
"Carlingford, Louth Division",24,29,25,21,27,22,32,26,10,19,25,10,23,18,10
"Drumad, Louth Division",24,19,19,30,28,13,16,20,19,13,17,19,30,16,7
"Dundalk, Louth Division",317,344,311,255,257,288,284,322,309,396,384,394,371,228,203
"Hackballscross, Louth Division",12,13,20,13,12,4,10,16,17,10,12,11,18,5,9
"Omeath, Louth Division",9,10,12,10,7,17,15,7,17,19,7,11,6,6,6
"Crusheen, Clare Division",5,2,6,4,7,7,11,0,4,2,3,7,5,2,3
"Ennis, Clare Division",128,105,83,146,172,230,161,154,112,136,160,166,156,133,84
"Killaloe, Clare Division",41,31,40,56,70,21,33,23,33,34,24,20,16,28,28
"Newmarket on Fergus, Clare Division",8,3,5,9,5,9,13,5,4,11,9,2,9,6,4
"Scariff, Clare Division",7,12,13,14,25,14,14,16,21,21,19,18,15,9,10
"Shannon, Clare Division",30,22,27,53,32,38,22,53,36,14,49,29,41,17,14
"Sixmilebridge, Clare Division",16,13,32,26,38,30,23,14,25,19,17,18,25,14,11
"Tulla, Clare Division",10,14,13,6,12,10,13,6,13,2,8,12,14,5,1
"Ballyvaughan, Clare Division",2,1,4,3,6,6,9,3,4,3,7,6,11,1,1
"Corofin Co. Clare, Clare Division",9,7,10,4,5,11,11,4,11,6,13,1,10,10,6
"Ennistymon, Clare Division",18,19,27,40,23,41,39,18,12,19,11,12,20,9,10
"Kildysart, Clare Division",3,0,1,3,6,11,7,2,3,4,3,1,0,3,2
"Kilkee, Clare Division",28,13,20,30,13,28,33,26,20,19,16,20,18,27,26
"Kilmihil , Clare Division",2,6,1,5,5,15,7,4,5,9,1,4,5,2,5
"Kilrush, Clare Division",26,17,14,21,16,31,21,47,42,54,10,27,24,14,22
"Lisdoonvarna, Clare Division",2,14,1,8,6,9,7,3,6,2,10,4,6,3,2
