"Bailieboro, Cavan Division",16,7,13,13,9,22,17,11,13,51,25,8,23,8,21
"Ballyjamesduff, Cavan Division",3,0,4,4,1,4,8,5,9,6,4,3,4,11,2
"Cootehill, Cavan Division",5,13,16,17,4,23,5,2,12,20,6,0,2,9,4
"Kingscourt, Cavan Division",6,5,16,23,12,5,9,5,8,21,4,2,2,7,2
"Mullagh, Cavan Division",0,0,0,0,3,2,1,0,5,2,4,0,2,1,2
"Shercock, Cavan Division",0,3,1,5,0,0,1,1,2,4,1,0,0,1,1
"Virginia, Cavan Division",7,3,20,10,13,8,8,6,1,5,13,8,13,11,9
"Ballyconnell, Cavan Division",7,3,3,11,8,3,2,3,5,4,4,2,6,1,6
"Belturbet, Cavan Division",13,8,21,3,2,2,0,1,8,2,7,4,6,7,5
"Blacklion, Cavan Division",1,0,2,2,0,4,12,18,17,3,0,1,0,0,0
"Dowra, Cavan Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Killeshandra, Cavan Division",0,1,0,1,2,0,1,0,0,0,0,0,4,1,1
"Swanlinbar, Cavan Division",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Arva, Cavan Division",2,6,1,6,2,4,0,2,9,1,3,0,3,0,3
"Ballinagh, Cavan Division",71,20,39,40,58,27,46,54,46,32,14,15,17,14,17
"Cavan, Cavan Division",8,19,13,46,77,34,19,27,16,12,8,6,26,26,16
"Kilnaleck, Cavan Division",0,1,0,1,3,2,3,1,1,3,1,0,0,0,1
"Clones, Monaghan Division",0,0,2,2,3,4,1,0,0,1,0,0,2,3,2
"Emyvale, Monaghan Division",1,0,0,0,1,1,1,4,1,3,3,1,2,4,5
"Monaghan, Monaghan Division",35,52,35,42,46,77,55,56,44,47,50,95,84,88,92
"Scotstown, Monaghan Division",0,1,1,2,1,3,0,2,1,3,3,4,1,0,3
"Ballybay, Monaghan Division",1,6,8,10,5,1,2,7,5,3,2,4,0,3,6
"Carrickmacross, Monaghan Division",0,0,1,1,2,15,3,5,5,2,3,1,2,1,5
"Castleblayney, Monaghan Division",15,38,60,54,76,88,39,74,37,58,72,47,31,38,43
"Rockcorry, Monaghan Division",0,0,0,1,1,0,0,5,2,0,1,0,1,0,1
"Ballintra, Donegal Division",0,6,0,8,9,5,19,6,8,1,3,1,0,1,1
