"Bailieboro, Cavan Division",53,42,38,48,42,47,28,52,31,40,27,27,25,28,43
"Ballyjamesduff, Cavan Division",4,7,18,21,26,30,22,27,20,16,9,8,13,11,25
"Cootehill, Cavan Division",45,36,44,33,45,27,23,43,24,34,21,18,16,18,25
"Kingscourt, Cavan Division",24,17,27,29,14,13,17,18,17,16,9,15,2,18,9
"Mullagh, Cavan Division",3,5,12,8,5,3,7,12,12,6,5,6,2,2,8
"Shercock, Cavan Division",4,5,3,12,6,9,4,5,18,2,0,1,4,2,6
"Virginia, Cavan Division",18,10,13,17,18,17,37,29,24,18,24,17,20,8,23
"Ballyconnell, Cavan Division",11,6,11,13,27,17,11,19,8,12,7,6,10,13,20
"Belturbet, Cavan Division",10,11,11,18,48,16,10,14,15,13,8,13,21,17,25
"Blacklion, Cavan Division",0,4,0,3,1,3,1,6,0,1,2,1,2,1,4
"Dowra, Cavan Division",3,1,3,2,0,1,3,0,2,1,3,1,1,0,0
"Killeshandra, Cavan Division",3,8,1,6,2,7,7,7,5,2,2,3,4,3,6
"Swanlinbar, Cavan Division",2,1,2,2,3,3,3,4,3,7,2,2,1,3,7
"Arva, Cavan Division",8,9,16,16,18,20,14,22,13,18,10,9,10,7,4
"Ballinagh, Cavan Division",66,87,63,99,121,104,91,91,62,91,86,68,73,42,59
"Cavan, Cavan Division",69,68,67,74,94,117,94,75,83,99,77,71,58,44,33
"Kilnaleck, Cavan Division",0,5,1,2,1,3,6,0,5,1,1,2,1,1,3
"Clones, Monaghan Division",3,5,1,8,8,12,4,7,10,2,4,6,2,5,3
"Emyvale, Monaghan Division",8,8,12,11,14,9,3,15,12,15,8,8,23,4,27
"Monaghan, Monaghan Division",127,158,149,167,145,133,121,114,114,96,102,111,111,104,115
"Scotstown, Monaghan Division",5,14,16,10,11,15,14,18,8,5,13,8,9,10,9
"Ballybay, Monaghan Division",33,35,28,33,40,35,28,24,12,22,12,11,9,8,5
"Carrickmacross, Monaghan Division",10,12,24,16,12,13,22,12,17,8,12,7,10,7,4
