"Bailieboro, Cavan Division",21,22,36,43,52,50,36,17,16,12,12,9,7,16,19
"Ballyjamesduff, Cavan Division",13,17,18,41,38,48,22,22,8,8,5,8,11,12,16
"Cootehill, Cavan Division",31,41,36,24,32,31,17,11,14,13,4,6,9,14,11
"Kingscourt, Cavan Division",10,13,17,25,27,27,15,12,10,11,7,13,5,9,9
"Mullagh, Cavan Division",4,0,5,18,15,14,6,8,8,6,5,5,5,1,3
"Shercock, Cavan Division",3,4,11,8,17,11,6,0,5,2,2,1,5,2,3
"Virginia, Cavan Division",23,22,36,32,42,42,28,21,22,25,26,21,15,19,14
"Ballyconnell, Cavan Division",8,7,14,28,45,24,19,16,12,14,9,8,9,5,10
"Belturbet, Cavan Division",15,18,34,37,49,23,18,15,15,3,7,3,11,13,12
"Blacklion, Cavan Division",0,0,0,5,1,6,0,0,0,0,0,0,0,1,0
"Dowra, Cavan Division",1,0,3,0,3,0,1,0,0,0,0,1,0,0,0
"Killeshandra, Cavan Division",2,3,4,6,6,3,3,3,3,4,1,1,2,3,2
"Swanlinbar, Cavan Division",0,0,1,8,5,1,1,0,3,0,1,1,0,2,0
"Arva, Cavan Division",25,27,22,31,24,18,20,27,24,15,10,3,10,7,8
"Ballinagh, Cavan Division",58,82,108,122,112,104,73,57,43,52,35,30,33,41,49
"Cavan, Cavan Division",64,80,104,112,114,92,87,53,38,31,39,55,52,33,41
"Kilnaleck, Cavan Division",0,1,1,1,1,3,3,4,2,4,2,2,2,3,2
"Clones, Monaghan Division",10,12,13,18,11,9,9,4,3,3,2,5,3,7,6
"Emyvale, Monaghan Division",15,19,8,18,25,10,11,4,8,7,8,6,10,12,11
"Monaghan, Monaghan Division",107,109,149,200,185,159,99,75,75,81,56,54,52,69,85
"Scotstown, Monaghan Division",12,24,23,33,14,12,15,9,5,12,13,7,14,14,10
"Ballybay, Monaghan Division",45,29,27,34,34,29,21,20,14,15,16,6,8,13,5
"Carrickmacross, Monaghan Division",12,11,11,21,12,27,12,13,9,5,5,4,3,12,4
"Castleblayney, Monaghan Division",140,166,188,229,218,176,122,94,85,65,59,59,49,71,86
"Rockcorry, Monaghan Division",7,4,9,7,12,12,7,5,11,4,3,1,4,5,4
"Ballintra, Donegal Division",3,3,9,15,9,8,13,6,4,9,3,5,5,7,11
"Ballyshannon, Donegal Division",19,28,30,29,35,25,20,24,11,8,10,5,6,8,14
"Bundoran, Donegal Division",22,26,38,26,48,21,21,19,12,19,13,13,12,16,14
"Donegal Town, Donegal Division",16,19,32,28,39,30,31,23,13,28,20,14,14,19,19
"Mountcharles, Donegal Division",5,2,7,10,8,3,7,7,4,4,6,3,4,0,4
"Na Cealla Beaga, Donegal Division",6,12,11,8,14,12,10,9,9,8,4,3,6,6,8
"Pettigo, Donegal Division",0,1,1,2,0,1,0,1,0,0,0,0,0,0,3
"Buncrana, Donegal Division",34,43,83,120,131,52,63,39,30,33,34,24,31,29,30
"Burnfoot, Donegal Division",11,5,20,22,39,34,23,12,12,16,9,13,8,17,11
"Carndonagh, Donegal Division",30,15,25,38,41,26,23,17,19,9,16,11,21,14,23
"Clonmany, Donegal Division",1,4,12,13,23,5,2,5,3,5,2,1,2,6,5
"Moville, Donegal Division",7,2,17,20,19,11,8,7,8,3,5,3,9,7,7
"Muff, Donegal Division",24,10,12,18,12,10,3,7,4,5,9,7,8,3,4
"Ballybofey, Donegal Division",28,21,26,45,52,52,37,29,29,15,28,30,24,22,31
"Carrigans, Donegal Division",5,2,4,10,8,6,4,3,3,6,3,5,1,2,3
"Castlefin, Donegal Division",7,4,5,6,8,4,6,3,9,3,5,12,3,7,6
"Convoy, Donegal Division",8,12,10,19,13,21,9,9,4,9,8,8,2,6,4
"Letterkenny, Donegal Division",127,126,127,222,215,209,157,109,87,100,83,64,97,108,78
"Lifford, Donegal Division",4,5,7,10,18,9,7,8,8,3,8,6,3,4,8
"Newtowncunningham, Donegal Division",13,6,7,14,19,16,11,6,3,5,5,7,7,5,7
"Raphoe, Donegal Division",16,9,11,22,20,8,5,2,6,4,7,2,7,6,8
"An Craoslach, Donegal Division",1,2,6,5,5,4,1,3,2,1,0,1,2,0,2
"An Fail Carrach, Donegal Division",7,11,14,22,34,29,2,12,4,8,4,9,6,8,7
"Carraig Airt, Donegal Division",5,6,3,6,12,9,6,6,4,5,6,6,7,7,8
"Dun Fionnachaid, Donegal Division",2,1,1,8,5,8,9,9,2,5,3,3,3,2,7
"Kerrykeel, Donegal Division",4,4,10,5,9,12,9,10,4,5,2,1,6,4,11
"Kilmacrennan, Donegal Division",12,6,15,22,13,18,15,12,11,8,8,14,8,5,15
"Milford, Co Donegal, Donegal Division",9,13,6,15,8,8,12,9,8,2,4,2,4,7,6
"Ramelton, Donegal Division",8,5,7,13,13,11,3,6,5,9,2,7,6,9,11
"Rathmullen, Donegal Division",2,2,2,1,1,3,0,3,4,2,0,2,3,2,1
"Ailt an Chorraiin, Donegal Division",3,3,1,2,12,8,5,5,2,3,1,2,1,3,3
"An Bun Beag, Donegal Division",16,24,15,25,25,20,24,13,15,15,5,5,5,7,3
"An Charraig, Donegal Division",5,0,3,8,6,8,6,4,5,3,1,1,0,0,1
"An Clochain Liath, Donegal Division",17,9,9,14,21,28,14,5,6,6,5,7,4,5,7
"Ard an Raitha, Donegal Division",6,3,8,11,12,10,7,5,3,2,2,1,1,12,5
"Clogher, Donegal Division",3,3,4,4,7,4,3,4,3,2,1,0,2,0,1
"Na Gleannta, Donegal Division",10,9,7,6,20,9,11,3,6,2,2,2,2,3,6
"Ballymote, Sligo Division",12,14,17,30,13,20,19,10,7,4,7,8,4,7,8
"Enniscrone, Sligo Division",17,14,12,20,14,6,15,10,9,7,6,10,8,4,5
"Gurteen, Leitrim Division",4,6,4,2,7,2,7,2,2,3,1,1,3,3,1
"Riverstown, Sligo Division",7,7,5,10,5,4,7,8,9,3,5,5,5,3,1
"Tubbercurry, Sligo Division",4,12,10,16,17,10,17,9,9,5,2,8,13,5,15
"Ballinamore, Leitrim Division",3,4,14,11,11,8,7,8,2,3,2,2,1,2,8
"Carrick-On-Shannon, Leitrim Division",39,46,49,72,77,85,47,34,30,30,21,33,25,23,27
"Carrigallen, Leitrim Division",1,1,2,7,10,8,2,0,1,0,2,0,0,2,0
"Drumshambo, Leitrim Division",13,9,11,15,13,7,8,3,4,0,3,2,1,1,0
"Kinlough, Leitrim Division",3,2,1,7,5,6,8,1,2,3,4,3,4,3,3
"Manorhamilton, Leitrim Division",13,7,18,21,21,18,10,9,12,9,4,8,5,3,2
"Mohill, Leitrim Division",14,13,22,34,20,19,13,8,8,8,3,15,6,4,10
"Collooney, Sligo Division",5,12,18,23,19,17,23,13,20,13,13,7,10,8,12
"Coolaney, Sligo Division",0,0,2,2,2,2,4,4,1,3,1,2,1,1,1
"Grange, Sligo Division",9,7,3,14,20,6,4,13,1,4,7,3,5,3,6
"Rosses Point, Sligo Division",5,5,5,7,9,3,2,5,5,2,3,3,0,0,1
"Skreen, Sligo Division",3,2,1,2,0,1,5,2,0,1,1,0,3,0,0
"Sligo, Sligo Division",65,85,82,183,194,155,131,79,74,62,47,44,46,69,83
"Ardee, Louth Division",22,25,13,15,16,33,29,23,17,13,11,19,12,20,17
"Castlebellingham, Louth Division",10,5,10,21,25,15,7,10,8,5,7,11,6,11,10
"Collon, Louth Division",6,4,5,5,4,3,2,3,2,2,2,3,2,4,2
"Louth, Louth Division",3,6,1,5,6,5,7,6,1,5,4,5,4,2,2
"Clogherhead, Louth Division",3,2,4,4,4,4,4,3,5,2,2,4,1,1,1
"Drogheda, Louth Division",171,160,212,225,288,261,189,120,107,78,56,50,49,51,47
"Dunleer, Louth Division",9,8,19,22,23,6,12,12,5,7,4,6,3,8,6
"Blackrock, Co Louth, Louth Division",22,15,10,21,8,19,11,10,4,4,4,7,6,4,2
"Carlingford, Louth Division",2,6,8,7,8,9,8,9,3,6,3,4,4,4,3
"Drumad, Louth Division",15,14,6,7,12,9,8,3,6,2,2,4,6,4,4
"Dundalk, Louth Division",203,154,210,296,270,284,288,173,140,90,58,70,64,91,99
"Hackballscross, Louth Division",5,2,4,16,8,8,11,7,1,7,4,1,1,3,4
"Omeath, Louth Division",1,4,2,4,7,0,3,3,5,1,3,0,1,3,0
"Crusheen, Clare Division",3,4,3,6,4,6,2,0,4,4,2,4,0,3,1
"Ennis, Clare Division",73,125,131,200,222,202,153,112,100,71,74,78,82,97,67
"Killaloe, Clare Division",11,15,23,39,49,44,31,23,33,27,7,15,14,16,17
