"Bailieboro, Cavan Division",47,34,44,60,48,47,29,43,26,42,23,34,43,42,31
"Ballyjamesduff, Cavan Division",15,17,37,16,33,31,27,47,34,33,25,18,35,34,27
"Cootehill, Cavan Division",53,43,37,32,38,22,24,43,72,37,53,57,50,42,37
"Kingscourt, Cavan Division",38,34,40,27,30,41,25,28,29,35,16,26,12,30,27
"Mullagh, Cavan Division",15,24,23,17,26,21,12,15,23,22,20,13,30,13,19
"Shercock, Cavan Division",10,12,14,8,10,10,13,11,16,16,3,9,9,12,14
"Virginia, Cavan Division",27,30,26,36,40,42,44,48,28,54,53,40,57,31,54
"Ballyconnell, Cavan Division",20,23,18,25,28,20,29,23,24,17,22,30,18,19,37
"Belturbet, Cavan Division",26,25,17,44,34,42,38,24,29,26,33,66,43,40,29
"Blacklion, Cavan Division",7,5,6,9,3,11,10,3,7,6,7,5,1,9,5
"Dowra, Cavan Division",10,2,1,1,1,5,2,2,6,4,2,5,1,0,2
"Killeshandra, Cavan Division",8,6,6,4,12,9,15,5,2,5,7,7,10,3,7
"Swanlinbar, Cavan Division",4,7,3,6,5,5,6,5,4,2,6,7,6,2,1
"Arva, Cavan Division",28,23,43,30,37,42,27,49,38,41,19,18,15,18,20
"Ballinagh, Cavan Division",110,93,109,95,104,139,138,110,89,82,68,100,83,60,58
"Cavan, Cavan Division",101,76,78,100,101,117,112,127,84,78,77,63,50,45,50
"Kilnaleck, Cavan Division",2,1,3,5,5,6,11,6,7,8,3,11,3,5,4
"Clones, Monaghan Division",4,9,7,11,24,3,11,6,10,8,3,7,11,6,10
"Emyvale, Monaghan Division",11,11,21,12,17,22,19,30,23,17,9,23,20,7,10
"Monaghan, Monaghan Division",222,252,263,248,281,263,239,229,224,264,229,290,322,298,285
"Scotstown, Monaghan Division",16,23,17,28,27,17,37,47,35,33,28,18,30,11,20
"Ballybay, Monaghan Division",58,38,38,37,23,25,32,24,26,27,23,38,34,17,16
"Carrickmacross, Monaghan Division",50,24,44,40,29,66,28,48,35,50,29,25,24,12,14
"Castleblayney, Monaghan Division",210,154,203,170,190,251,217,206,262,206,179,186,183,122,156
"Rockcorry, Monaghan Division",8,11,10,11,14,10,11,12,9,5,12,3,10,7,6
"Ballintra, Donegal Division",38,32,16,12,19,17,8,15,17,14,11,12,11,8,12
"Ballyshannon, Donegal Division",70,37,45,68,38,28,50,36,37,23,41,23,24,28,13
"Bundoran, Donegal Division",33,51,29,29,46,31,28,38,32,49,40,33,42,41,31
"Donegal Town, Donegal Division",74,57,57,55,49,51,43,47,44,40,40,33,33,23,21
"Mountcharles, Donegal Division",12,7,6,4,7,8,5,9,11,5,5,2,3,3,2
"Na Cealla Beaga, Donegal Division",28,18,13,16,16,14,29,6,12,12,14,7,17,3,8
"Pettigo, Donegal Division",3,4,0,1,3,9,2,4,5,2,13,7,2,3,1
"Buncrana, Donegal Division",57,65,55,70,71,66,77,64,62,45,65,84,58,22,23
"Burnfoot, Donegal Division",43,59,72,60,39,54,56,39,39,50,44,31,33,16,28
"Carndonagh, Donegal Division",22,26,41,29,37,27,24,31,41,26,29,38,24,14,15
"Clonmany, Donegal Division",7,11,8,13,10,9,8,11,9,4,4,4,3,0,3
"Moville, Donegal Division",34,29,27,32,26,20,37,27,27,11,11,12,7,12,4
"Muff, Donegal Division",36,49,31,29,23,22,23,17,21,17,34,25,19,9,10
"Ballybofey, Donegal Division",85,111,106,92,72,77,81,59,88,44,60,67,64,53,51
"Carrigans, Donegal Division",30,25,17,22,27,25,28,27,31,19,21,10,9,7,6
"Castlefin, Donegal Division",31,22,11,18,19,25,27,19,19,21,9,12,24,8,8
"Convoy, Donegal Division",21,15,29,35,34,31,40,34,28,19,23,16,9,9,14
"Letterkenny, Donegal Division",393,402,420,497,512,501,584,463,493,382,406,428,410,382,346
"Lifford, Donegal Division",32,24,24,30,26,28,27,14,28,11,19,20,10,14,15
"Newtowncunningham, Donegal Division",21,22,26,31,22,27,35,39,31,33,30,18,17,3,11
"Raphoe, Donegal Division",35,31,43,45,37,37,32,32,28,26,18,10,20,5,13
"An Craoslach, Donegal Division",5,8,4,10,5,10,16,5,1,4,0,5,1,3,2
"An Fail Carrach, Donegal Division",25,20,22,23,15,23,19,13,8,13,6,3,8,1,7
