"Bailieboro, Cavan Division",1,1,1,3,2,2,3,0,2,6,4,2,2,4,2
"Ballyjamesduff, Cavan Division",0,0,0,1,5,2,2,1,2,1,0,2,1,0,3
"Cootehill, Cavan Division",0,2,6,4,5,4,1,2,6,2,4,5,2,1,4
"Kingscourt, Cavan Division",4,1,2,1,0,0,2,2,1,0,0,0,0,2,2
"Mullagh, Cavan Division",0,0,0,1,0,0,0,0,2,2,0,0,0,0,1
"Shercock, Cavan Division",0,1,0,0,2,0,0,0,3,0,0,1,0,0,2
"Virginia, Cavan Division",1,0,0,2,2,0,4,2,2,0,3,4,1,3,3
"Ballyconnell, Cavan Division",1,1,1,0,0,0,0,4,0,0,0,1,2,1,0
"Belturbet, Cavan Division",0,0,0,0,2,0,1,1,2,1,2,1,4,2,5
"Blacklion, Cavan Division",0,0,0,2,0,1,0,0,1,0,1,0,0,0,0
"Dowra, Cavan Division",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Killeshandra, Cavan Division",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Swanlinbar, Cavan Division",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Arva, Cavan Division",0,0,0,0,2,2,6,2,0,0,1,2,0,1,0
"Ballinagh, Cavan Division",2,1,3,9,5,6,11,9,3,1,4,2,2,5,10
"Cavan, Cavan Division",6,3,4,12,15,4,5,6,3,2,4,5,4,7,5
"Kilnaleck, Cavan Division",0,0,0,1,0,0,0,0,0,0,0,2,1,1,0
"Clones, Monaghan Division",0,0,0,1,0,1,1,0,2,0,0,2,0,5,1
"Emyvale, Monaghan Division",1,0,1,2,1,0,0,2,3,0,1,1,2,0,1
"Monaghan, Monaghan Division",4,6,5,8,17,8,12,14,15,17,13,19,11,9,9
"Scotstown, Monaghan Division",0,0,2,1,0,0,1,0,0,1,0,0,0,1,0
"Ballybay, Monaghan Division",1,0,3,2,2,4,3,3,1,1,1,1,2,0,0
"Carrickmacross, Monaghan Division",0,3,1,0,0,0,3,0,0,1,2,1,0,0,0
"Castleblayney, Monaghan Division",10,6,6,7,3,7,13,6,8,3,5,5,7,5,4
"Rockcorry, Monaghan Division",0,0,0,0,0,0,2,2,3,0,0,0,0,1,0
"Ballintra, Donegal Division",1,1,0,1,2,0,2,1,0,1,0,1,0,0,0
"Ballyshannon, Donegal Division",3,4,4,6,3,5,5,3,4,1,0,3,5,3,3
"Bundoran, Donegal Division",2,4,1,4,4,3,0,1,2,1,1,2,1,1,2
"Donegal Town, Donegal Division",2,2,2,2,2,3,6,1,2,0,1,2,1,0,3
"Mountcharles, Donegal Division",0,1,0,0,0,0,3,0,1,0,0,0,0,0,0
"Na Cealla Beaga, Donegal Division",1,1,2,1,5,4,0,2,1,0,1,1,0,0,0
"Pettigo, Donegal Division",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Buncrana, Donegal Division",2,6,3,11,11,10,10,12,1,11,4,4,5,4,6
"Burnfoot, Donegal Division",2,0,3,3,1,3,9,4,1,2,0,3,0,0,0
"Carndonagh, Donegal Division",2,3,2,2,4,4,5,6,3,1,2,0,3,0,2
"Clonmany, Donegal Division",0,2,0,1,0,0,3,3,0,0,0,1,1,0,0
"Moville, Donegal Division",1,2,1,3,5,6,2,2,3,0,4,0,0,1,0
"Muff, Donegal Division",0,0,1,1,1,1,3,0,2,1,2,0,0,0,0
"Ballybofey, Donegal Division",1,3,3,5,1,6,1,3,6,2,5,3,1,7,3
"Carrigans, Donegal Division",0,0,0,0,5,2,0,0,0,0,1,0,1,0,1
"Castlefin, Donegal Division",0,0,0,0,3,3,2,0,1,1,3,0,0,0,1
"Convoy, Donegal Division",3,0,0,0,3,3,3,4,3,0,1,1,1,0,0
"Letterkenny, Donegal Division",7,6,8,22,19,29,29,24,13,9,11,15,16,24,8
"Lifford, Donegal Division",1,2,0,0,2,3,2,0,0,0,3,0,0,0,0
"Newtowncunningham, Donegal Division",0,1,2,1,1,0,1,4,5,0,1,0,0,0,0
"Raphoe, Donegal Division",0,0,3,1,0,5,2,3,0,1,0,0,2,0,1
"An Craoslach, Donegal Division",0,0,0,0,0,0,3,0,0,1,0,0,0,0,0
