,County,Year,Population
0,Carlow,2002,46014
26,Carlow,2003,46014
52,Carlow,2004,46014
78,Carlow,2005,46014
104,Carlow,2006,50349
130,Carlow,2007,50349
156,Carlow,2008,50349
182,Carlow,2009,50349
208,Carlow,2010,50349
234,Carlow,2011,54612
260,Carlow,2012,54612
286,Carlow,2013,54612
312,Carlow,2014,54612
338,Carlow,2015,54612
364,Carlow,2016,56932
390,Carlow,2017,56932
23,Cavan,2002,56546
49,Cavan,2003,56546
75,Cavan,2004,56546
101,Cavan,2005,56546
127,Cavan,2006,64003
153,Cavan,2007,64003
179,Cavan,2008,64003
205,Cavan,2009,64003
231,Cavan,2010,64003
257,Cavan,2011,73183
283,Cavan,2012,73183
309,Cavan,2013,73183
335,Cavan,2014,73183
361,Cavan,2015,73183
387,Cavan,2016,76176
413,Cavan,2017,76176
12,Clare,2002,103277
38,Clare,2003,103277
64,Clare,2004,103277
90,Clare,2005,103277
116,Clare,2006,110950
142,Clare,2007,110950
168,Clare,2008,110950
194,Clare,2009,110950
220,Clare,2010,110950
246,Clare,2011,117196
272,Clare,2012,117196
298,Clare,2013,117196
324,Clare,2014,117196
350,Clare,2015,117196
376,Clare,2016,118817
402,Clare,2017,118817
13,Cork,2002,447829
39,Cork,2003,447829
65,Cork,2004,447829
91,Cork,2005,447829
117,Cork,2006,481295
143,Cork,2007,481295
169,Cork,2008,481295
195,Cork,2009,481295
221,Cork,2010,481295
247,Cork,2011,519032
273,Cork,2012,519032
299,Cork,2013,519032
325,Cork,2014,519032
351,Cork,2015,519032
377,Cork,2016,542868
403,Cork,2017,542868
24,Donegal,2002,137575
50,Donegal,2003,137575
76,Donegal,2004,137575
102,Donegal,2005,137575
128,Donegal,2006,147264
154,Donegal,2007,147264
180,Donegal,2008,147264
206,Donegal,2009,147264
232,Donegal,2010,147264
258,Donegal,2011,161137
284,Donegal,2012,161137
310,Donegal,2013,161137
336,Donegal,2014,161137
362,Donegal,2015,161137
388,Donegal,2016,159192
414,Donegal,2017,159192
1,Dublin,2002,1122821
27,Dublin,2003,1122821
53,Dublin,2004,1122821
79,Dublin,2005,1122821
105,Dublin,2006,1187176
131,Dublin,2007,1187176
157,Dublin,2008,1187176
183,Dublin,2009,1187176
209,Dublin,2010,1187176
235,Dublin,2011,1273069
261,Dublin,2012,1273069
