,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Abbeydorney, Kerry",244,244,244,244,244,244,244,244,412,412,412,412,412,412,412
"Abbeyfeale, Limerick",1940,1940,1940,1940,1940,1940,1940,1940,2007,2007,2007,2007,2007,2007,2007
"Abbeyleix, Laois",1568,1568,1568,1568,1568,1568,1568,1568,1827,1827,1827,1827,1827,1827,1827
"Adamstown, Wexford",173,173,173,173,173,173,173,173,258,258,258,258,258,258,258
"Adare, Limerick",982,982,982,982,982,982,982,982,1106,1106,1106,1106,1106,1106,1106
"Aghada-Farsid-Rostellan, Cork",904,904,904,904,904,904,904,904,1015,1015,1015,1015,1015,1015,1015
"Aglish, Waterford",169,169,169,169,169,169,169,169,343,343,343,343,343,343,343
"Ahascragh, Galway",221,221,221,221,221,221,221,221,205,205,205,205,205,205,205
"Ailt an Chorráin, Donegal",270,270,270,270,270,270,270,270,323,323,323,323,323,323,323
"Allenwood, Kildare",667,667,667,667,667,667,667,667,845,845,845,845,845,845,845
"Anagaire, Donegal",223,223,223,223,223,223,223,223,253,253,253,253,253,253,253
"An Bun Beag-Doirí Beaga, Donegal",1359,1359,1359,1359,1359,1359,1359,1359,1553,1553,1553,1553,1553,1553,1553
"An Charraig, Donegal",253,253,253,253,253,253,253,253,282,282,282,282,282,282,282
"An Cheathrú Rua, Galway",627,627,627,627,627,627,627,627,814,814,814,814,814,814,814
"An Clochán Liath, Donegal",1068,1068,1068,1068,1068,1068,1068,1068,1183,1183,1183,1183,1183,1183,1183
"An Daingean, Kerry",1920,1920,1920,1920,1920,1920,1920,1920,1965,1965,1965,1965,1965,1965,1965
"An Fál Carrach, Donegal",842,842,842,842,842,842,842,842,860,860,860,860,860,860,860
"Annacotty, Limerick",1839,1839,1839,1839,1839,1839,1839,1839,2856,2856,2856,2856,2856,2856,2856
"Annagassan, Louth",180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
"Annaghdown, Galway",227,227,227,227,227,227,227,227,234,234,234,234,234,234,234
"Annascaul, Kerry",271,271,271,271,271,271,271,271,299,299,299,299,299,299,299
"An Rinn, Waterford",384,384,384,384,384,384,384,384,500,500,500,500,500,500,500
"An Spidéal, Galway",247,247,247,247,247,247,247,247,250,250,250,250,250,250,250
"Ardagh, Limerick",271,271,271,271,271,271,271,271,288,288,288,288,288,288,288
"Ardara, Donegal",564,564,564,564,564,564,564,564,731,731,731,731,731,731,731
"Ardee Legal Town, Louth",4301,4301,4301,4301,4301,4301,4301,4301,4554,4554,4554,4554,4554,4554,4554
"Ardee Environs, Louth",393,393,393,393,393,393,393,393,373,373,373,373,373,373,373
"Ardfert, Kerry",729,729,729,729,729,729,729,729,800,800,800,800,800,800,800
"Ardfinnan, South Tipperary",747,747,747,747,747,747,747,747,946,946,946,946,946,946,946
"Ardmore, Waterford",412,412,412,412,412,412,412,412,435,435,435,435,435,435,435
"Ardnacrusha (Castlebank), Clare",1169,1169,1169,1169,1169,1169,1169,1169,1414,1414,1414,1414,1414,1414,1414
"Ardskeagh, Clare",245,245,245,245,245,245,245,245,297,297,297,297,297,297,297
"Arklow Legal Town, Wicklow",11712,11712,11712,11712,11712,11712,11712,11712,12770,12770,12770,12770,12770,12770,12770
"Arklow Environs, Wicklow",47,47,47,47,47,47,47,47,239,239,239,239,239,239,239
"Arthurstown, Wexford",159,159,159,159,159,159,159,159,135,135,135,135,135,135,135
"Arva, Cavan",364,364,364,364,364,364,364,364,380,380,380,380,380,380,380
"Ashbourne, Meath",8528,8528,8528,8528,8528,8528,8528,8528,11355,11355,11355,11355,11355,11355,11355
"Ashford, Wicklow",1349,1349,1349,1349,1349,1349,1349,1349,1449,1449,1449,1449,1449,1449,1449
"Askeaton, Limerick",979,979,979,979,979,979,979,979,1149,1149,1149,1149,1149,1149,1149
"Athboy, Meath",2213,2213,2213,2213,2213,2213,2213,2213,2397,2397,2397,2397,2397,2397,2397
"Athea, Limerick",377,377,377,377,377,377,377,377,385,385,385,385,385,385,385
"Athenry, Galway",3205,3205,3205,3205,3205,3205,3205,3205,3950,3950,3950,3950,3950,3950,3950
"Athgarvan, Kildare",1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016
"Athleague, Roscommon",241,241,241,241,241,241,241,241,241,241,241,241,241,241,241
"Athlone Legal Town, Westmeath",14347,14347,14347,14347,14347,14347,14347,14347,15558,15558,15558,15558,15558,15558,15558
"Athlone Environs, Westmeath and Roscommon",3197,3197,3197,3197,3197,3197,3197,3197,4595,4595,4595,4595,4595,4595,4595
"Athy Legal Town, Kildare",7943,7943,7943,7943,7943,7943,7943,7943,9587,9587,9587,9587,9587,9587,9587
"Athy Environs, Kildare",275,275,275,275,275,275,275,275,339,339,339,339,339,339,339
"Aughnacliffe, Longford",148,148,148,148,148,148,148,148,148,148,148,148,148,148,148
"Aughrim, Wicklow",1145,1145,1145,1145,1145,1145,1145,1145,1364,1364,1364,1364,1364,1364,1364
"Avoca, Wicklow",734,734,734,734,734,734,734,734,753,753,753,753,753,753,753
"Bailieborough, Cavan",1966,1966,1966,1966,1966,1966,1966,1966,2530,2530,2530,2530,2530,2530,2530
"Baile Chláir, Galway",741,741,741,741,741,741,741,741,1217,1217,1217,1217,1217,1217,1217
"Baile Mhic Íre, Cork",413,413,413,413,413,413,413,413,425,425,425,425,425,425,425
"Balbradagh, Meath",257,257,257,257,257,257,257,257,363,363,363,363,363,363,363
"Balbriggan Legal Town, Fingal",6731,6731,6731,6731,6731,6731,6731,6731,19932,19932,19932,19932,19932,19932,19932
"Balbriggan Environs, Fingal",8828,8828,8828,8828,8828,8828,8828,8828,28,28,28,28,28,28,28
"Balla, Mayo",586,586,586,586,586,586,586,586,671,671,671,671,671,671,671
"Ballaghaderreen, Roscommon",1720,1720,1720,1720,1720,1720,1720,1720,1822,1822,1822,1822,1822,1822,1822
"Ballina Legal Town, Mayo",10056,10056,10056,10056,10056,10056,10056,10056,10361,10361,10361,10361,10361,10361,10361
"Ballina Environs, Mayo",353,353,353,353,353,353,353,353,725,725,725,725,725,725,725
